,fileslug,id,sf_abstract,tags,title,link
35,S16-253_inducible-production-of-il-4-for,240886,Researchers at Stanford have developed methods and compositions to provide inducible production of anti-inflammatory cytokines in mesenchymal stem cells (MSCs).  MSCs have great potential in ...,,Inducible production of IL-4 for precise control of immunomodulation <i>in situ</i>,"['https://www.celltherapyjournal.org/article/S1465-3249(18)30551-6/p', 'https://onlinelibrary.wiley.com/doi/epdf/10.1002/jbm.a.365', 'https://patents.google.com/patent/WO2018071295A1/en?oq=WO+2018%2f0712']"
36,S18-107_isotope-encoded-nanotags-for-high,240884,Stanford researchers have developed metal and fluorophore doped nanoparticles that act as signal enhancers for multiplexing high-order imaging and detection. The nanoparticles can be inorganics ...,,"Isotope Encoded Nanotags for High Sensitivity, Multiplexed Imaging and Detection",[]
37,S18-160_method-to-treat-radiation-therapy,240883,Researchers at Stanford have developed methods of using a locally administered growth factor to prevent or treat oral mucositis induced by radiotherapy or chemotherapy.  Oral ...,Mucositis; ,Method to treat radiation therapy or chemotherapy-induced oral mucositis,[]
38,S15-050_mobilizing-anti-tumor-immunity-by,240881,"Researchers at Stanford have developed a new, patented strategy to enhance anti-tumor immune responses to treat cancer.  Cancer is the second leading cause of death ...",Chemerin; ,Mobilizing anti-tumor immunity by targeting chemerin receptor CCRL2,[]
39,S18-335_sim-seq-synthetic-introduced,240880,"Typical biological sequences (such a genome sequences) can have repetitive and low information regions that make assembly much more difficult, and for short fragments, often ...",,SIM-Seq -- Synthetic Introduced Mutations - Sequencing: A novel method for sequencing with a focus on resolving low information regions of sequences,[]
40,S17-243_strategy-for-more-effective,240879,Researchers at Stanford have developed a strategy to improve the efficacy of antibiotics by conjugating the antibiotic to a guanidinium-rich molecular transporter (GR-MoTr).  The overuse ...,,Strategy for more effective antibiotics- conjugation to a molecular transporter,"['https://pubs.acs.org/doi/10.1021/jacs.8b087', 'https://news.stanford.edu/2018/11/05/new-drug-strategy-antibiotic-resistant-infection', 'https://engineering.stanford.edu/magazine/article/deadly-bacteria-are-no-match-new-antibiotic-treatment-pl']"
41,S17-374_method-to-visualize-and-quantify,240878,"Dr. Manish Saggar at Stanford University has developed a new method to visualize and quantify transitions in brain activity, which may be used as a ...",Topological data analysis; ,Method to visualize and quantify transitions in brain activity using topological data analysis,['http://dx.doi.org/10.1038/s41467-018-03664']
42,S17-107_methods-for-high-performance-clamp,240855,"Engineers in Prof. Khuri-Yakub’s laboratory have developed ultrasonic methods for non-invasive flow meters to accurately measure flow rate, pressure, velocity profile and other parameters of ...",Ultrasonic flow meter; ,Methods for High Performance Clamp-on Ultrasonic Flow Meter - Circumferential Resonance,[]
43,S17-108_methods-for-high-performance-clamp,240854,"Engineers in Prof. Khuri-Yakub’s laboratory have developed ultrasonic methods for non-invasive flow meters to accurately measure flow rate, pressure, velocity and other parameters of gas ...",Ultrasonic flow meter; Lamb waves; ,Methods for High Performance Clamp-on Ultrasonic Flow Meter – Leaky Lamb Waves,[]
44,S17-422_deep-learning-method-for,240853,Nonstationary image artifacts frequently arise in MRI from off-resonance and motion. Current methods to correct these nonstationary effects are computationally expensive. Stanford researchers have developed ...,,Deep Learning Method for Nonstationary Image Artifact Correction,['https://www.ismrm.org/18/program_files/PP16.h']
45,S18-040_synthesis-of-metal-nanoparticles,240851,"Scientists at the Zare Lab have reported for the first time, a method to produce gold nanoparticles (AuNPs) and gold nanowires using water microdroplets  without ...",,Synthesis of Metal Nanoparticles and Metal Nanowires,['https://www.nature.com/articles/s41467-018-04023']
46,S13-355_method-of-treating-autoimmune,240845,Stanford researchers find that 4-methylumbelliferone (4-MU) is effective in reversing autoimmune inflammation in a mouse model of type 1 diabetes (T1D). 4-MU is currently used ...,,Method of Treating Autoimmune Diseases Using 4-Methylumbelliferone,"['https://doi.org/10.1172/JCI792', 'https://doi.org/10.1073/pnas.15250861', 'https://bpspubs.onlinelibrary.wiley.com/doi/full/10.1111/bph.139', 'https://doi.org/10.1016/j.matbio.2018.03.0']"
47,S16-051_gel-to-enhance-stem-cell-survival,240844,Researchers at Stanford have developed an injectable gel that provides slow release of pro-survival growth factors to improve transplanted stem cell survival.  Stem cell therapies ...,,Gel to enhance stem cell survival and function,['http://dx.doi.org/10.1038/s41551-018-0191']
48,S16-144_neuroprotective-treatment-for,240841,"Disease indication  - Neurodegenerative diseases [including Alzheimer’s disease, Parkinson’s disease, Amyotrophic Lateral Sclerosis (ALS), multiple sclerosis (MS), Huntington’s Disease] and neuronal injury (including spinal cord ...",Neurodegeneration; Astrocyte; ,"Neuroprotective treatment for neurodegenerative disease, neuroinflammation and neuronal injury by targeting reactive astrocytes","['https://doi.org/10.1038/nature210', 'https://med.stanford.edu/news/all-news/2017/01/toxic-brain-cells-may-drive-many-neurodegenerative-disorders.ht', 'https://doi.org/10.1016/j.immuni.2017.06.0', 'https://doi.org/10.1038/s41591-018-0051']"
49,S17-432_clearer-deeper-bioimaging-via-near,240840,"Stanford researchers in the Dai Lab have developed a near-infrared, two-photon fluorescence imaging method with higher clarity and penetration than ever before.  The method uses ...",,"Clearer, Deeper Bioimaging via Near-Infrared, Two-Photon Fluorescence Imaging",[]
50,S18-387_active-transfer-learning-deep,240839,Researchers in Prof. Vijay Pande’s laboratory have developed predictive algorithms and software to train deep neural network-based models using a technique called Active Transfer Learning ...,Computer vision; Machine learning; ,"Active Transfer Learning: deep neural network models for drug discovery, image recognition and other machine learning tasks",[]
51,S14-295_a-method-for-rapid-multi-contrast,240836,Stanford researchers have developed an improved imaging protocol for better visualization of the thalamus. This faster acquisition leads to a better delineation of structures due ...,,A method for rapid multi-contrast brain imaging,[]
52,S13-083_strain-actuated-origami-stretch,240831,"Strain-actuated origami is making stretchable electronics for positioning, gripping, assembly and controlled pressure applications more robust. The invention is a planar microelectrode array that produces ...",,"Strain-actuated origami: stretch induces tunable and reversible fold-out and pop-out features for controlled pressure application, gripper positioning, and assembly from planar-fabricated macro and microstructures.",['http://iopscience.iop.org/article/10.1088/0960-1317/23/10/105004/da']
53,S17-404_gestational-dating-by-metabolic,240830,"Stanford researchers have completed the first-ever longitudinal characterization of the meticulously-timed changes in a woman’s metabolic system, which occur during pregnancy. Maternal metabolism changes throughout ...",,Gestational dating by metabolic profile during pregnancy,[]
54,S17-086_screening-platform-to-identify,240828,Dr. Lawrence Steinman and Dr. Jonathan Rothbard at Stanford University have developed a drug screening platform to identify candidate agents that modulate the immune regulatory ...,,Screening platform to identify agents that may be used to treat inflammatory disease,"['http://dx.doi.org/10.1073/pnas.18045991', 'https://scopeblog.stanford.edu/2018/06/19/why-nicotine-mimicking-molecules-might-make-great-anti-inflammatory-drugs-for-ms-ra-gout-and-mor', 'http://med.stanford.edu/news/all-news/2018/07/nicotine-mimics-may-have-therapeutic-effect-on-inflammatory-disease.ht']"
55,S17-479_light-cleavable-cloaking-agents-to,240824,"Researchers in Prof. Eric Kool’s laboratory have developed a simple, inexpensive, one-step postsynthetic technique to switch long RNA molecules off and on in order to ...",,Light-cleavable cloaking agents to control RNA activity in vitro and in vivo,['http://dx.doi.org/10.1021/jacs.7b124']
56,S17-372_small-molecule-inhibitors-to,240806,"Disease indication  - Chemo- and radiation therapy resistant cancer, such as ovarian cancer, head and neck cancer (HNC), lung cancer, glioblastoma multiforme and breast cancer. ...",Radiation therapy; ,Small molecule inhibitors to overcome chemo- and radiation therapy resistant cancer,[]
57,S17-182_method-to-direct-t-cell-fate,240786,Researchers at Stanford have developed a method to direct T cell fate toward the T stem cell memory (TSCM) phenotype during ex vivo expansion for ...,T cell; ,Method to direct T-cell fate towards T stem cell memory phenotype,[]
58,S18-067_photonic-thermal-management-of,240785,"Stanford researchers at the Fan Lab have proposed a comprehensive approach for controlling the heating and cooling of outdoor coatings, such as paint on automobiles ...",,Photonic Thermal Management of Outdoor Colored Objects such as automobile and building exteriors,['https://www.nature.com/articles/s41467-018-06535']
59,S18-336_ultrasound-for-detecting-and,240782,"Engineers at the Khuri-Yakub Group have designed a non-surgical alternative for treating epilepsy using ultrasonic technology which can detect, localize, and suppress epileptic seizures in ...",,Ultrasound for Detecting and Suppressing Epileptic Seizure,[]
60,S18-365_crispr-go-a-method-for-programmable,240781,"Researchers at Stanford have expanded the CRISPR method to enable programmable, targeted control of spatial genomic DNA organization in the nucleus and allow for regulated ...",,CRISPR-GO: a method for programmable genome re-organization,['https://doi.org/10.1016/j.cell.2018.09.0']
61,S05-134_brain-derived-neurotrophic-factor,240763,Stanford researchers have found that Brain-derived neurotrophic factor (BDNF) promotes the in vitro development of oocytes and zygotes into preimplantation embryos. The Stanford researchers performed ...,Brain-derived neurotrophic factor; Oocyte; ,Brain-derived neurotrophic factor (BDNF) promotes oocyte maturation,['http://www.ncbi.nlm.nih.gov/pubmed/159679']
62,S10-080_proteins-and-peptides-for-maturing,240762,Researchers in Prof. Aaron Hsueh’s laboratory have identified two different secreted proteins that can be used to stimulate ovarian follicle development in vivo or in ...,Ovarian follicle; ,Proteins and peptides for maturing ovarian follicles,"['http://patentscope.wipo.int/search/en/detail.jsf;jsessionid=AEAEE60E8637711D069235F28455E6DA.wapp1?docId=WO2013090787&recNum=10&office=&queryString=&prevFilter=%26fq%3DOF%3AWO%26fq%3DICF_M%3A%22C12N%22&sortOption=Pub+Date+Desc&maxRec=299', 'http://mend.endojournals.org/content/26/7/1158.abstra']"
63,S17-153_mitochondrial-pathway-and-ribosome,240761,Researchers in Prof. Bingwei Lu’s laboratory have identified a novel pathway for treating Parkinson’s disease along with a robust biomarker for molecular diagnosis and monitoring. ...,Ribosome; ,Mitochondrial pathway and ribosome quality control genes for treatment and diagnosis of Parkinson’s disease,['https://doi.org/10.1016/j.cmet.2018.05.0']
64,S17-211_stretchable-and-elastic-polymer,240760,Engineers at the Zhenan Bao Lab have developed an elastic Li-ion conductor with dual covalent and dynamic hydrogen bonding crosslinks providing high mechanical resilience without ...,,Stretchable and Elastic Polymer Electrolyte for Lithium Ion Batteries,['https://doi.org/10.1002/adma.20180414']
65,S17-440_upconverting-nanoparticles-as-in,240759,This nanoparticle platform for electric field detection is the first inorganic platform to use both intensity and spectro-ratiometric (relative color change) readout for the determination ...,,Upconverting Nanoparticles as In Vivo and In Situ Optical Electric Field Sensors,[]
66,S18-025_an-algorithm-for-blind-mimo,240758,"Stanford researchers have proposed a novel, efficient algorithm to decode multiple-input multiple-output (MIMO) wireless signals with no channel state information (CSI) or underlying data. Current ...",,An algorithm for blind MIMO decoding,"['http://web.stanford.edu/~trdean/papers/Fast_Blind_MIMO_Decoding_Asilomar.p', 'http://dx.doi.org/10.1109/GLOCOM.2017.82541']"
67,S18-114_simple-synthesis-of-uniform-carbon,240757,"Engineers in Professor Zhenan Bao’s laboratory have developed a simple, low-cost, tunable, one-step polymerization process followed by pyrolysis for producing uniform carbon particles with a ...",,Simple synthesis of uniform carbon flower superstructures for electrocatalysts and other energy and environment applications,['https://pubs.acs.org/doi/10.1021/jacs.8b058']
68,S18-329_inhibiting-barite-scale,240748,Barite scale formation in hydraulic fracturing systems is a significant problem with regards to production and permanent formation damage.  Barite added to drilling mud (20-60 ...,,Inhibiting Barite Scale Precipitation in Hydraulic Fracturing,[]
69,S16-445_ultra-sensitive-and-universal,240743,"Researchers in Prof. Mike Snyder’s lab at Stanford have developed an ultra-sensitive pipeline for universal species detection, including in low-abundance microbiome samples.  The microbiome is ...",,Ultra-sensitive and universal species detection pipeline for NGS data,"['https://patentscope.wipo.int/search/docs2/pct/WO2018195404/pdf/uxEYf_pyvFLCDV0MSHZZyKlzmnAGLOrqQ_-DNRaIlfbQBat94iGFf6C2Z7W3TXFoLn3gE2_4l6Rwi--N-w3l0N13CFIGhuR8KNKxu4uG56PW7TKPwoySoqBiulBBkFzr?docId=id00000044595590&psAuth=c7XOAyX3W7kGordFJZkBJQZkxbKetNyAh7cOrhQNg', 'https://www.cell.com/action/showPdf?pii=S0092-8674%2818%2931121']"
70,S17-024_device-for-monitoring-environmental,240742,Researchers at Stanford have developed a device to monitor environmental exposure in personal (wearable) or public (stationary) settings.  Human health can be viewed as the ...,,Device for Monitoring Environmental Exposures,"['https://patentscope.wipo.int/search/docs2/pct/WO2018195401/pdf/jVKJZpVK3I8gHCvQ7w653LmFGAEP9V-PZf0EbCGlGahdMBgGMFJxul5isC-KBAbXFV3_QTRcm4XahTvoitF_FY4Lj5VIpQNcIl1ZEZFnW4I_sRBLyPQt1SOjJXrnz59l?docId=id00000044590786&psAuth=4dfhoY0BEkU9HP073KNK1zYbLlqQrJY2fnf_uxi5m', 'https://www.cell.com/action/showPdf?pii=S0092-8674%2818%2931121']"
71,S17-171_fast-biotin-ligase-for-proximity,240737,"Researchers in Prof. Paul Khavari’s laboratory have engineered a small, fast biotin ligase enzyme to perform proximity labeling in living cells on a timescale as ...",,Fast biotin ligase for proximity labeling in living cells to study RNA-protein interactions and other interactions,['http://dx.doi.org/10.1038/nmeth.46']
72,S18-315_airway-visualization-system,240734,Stanford researchers designed a system to enable x-ray visualization of the tracheobronchial tree to aid the physician in guiding endoscopic tools in the pulmonary tract. ...,,Airway visualization system,['https://onlinelibrary.wiley.com/doi/abs/10.1111/wrr.126']
73,S17-420_simple-blood-test-to-accurately,240726,"Stanford researchers have developed an inexpensive, non-invasive test that can accurately predict gestational age and time to delivery of a human fetus using a simple ...",Gestational age; ,Simple blood test to accurately determine gestational age and time to delivery,[]
74,S18-008_rational-design-of-redox-mediator,240725,Stanford researchers in Zhenan Bao and Yi Cui’s labs have developed an organic redox mediator that could make Lithium Sulfur batteries charge faster with less ...,Redox; ,Rational design of redox mediator for fast and energy-efficient charging of sulfur cathodes,[]
75,S18-242_passive-overspeed-protection-for,240723,"Stanford researchers have developed passive, overspeed control for vertical-axis wind turbines (VAWTs) by adding avian inspired flexible flaps to the turbine blades. VAWTs can provide ...",Wind turbine; ,"Passive, Overspeed Protection for Vertical Axis Wind turbines",[]
76,S13-195_3d-printed-smartphone-lens-adapters,240707,"Stanford researchers have designed and prototyped an inexpensive, compact and easy-to-use smartphone lens mount for the capture of high quality photographs and videos of the ...",3D printing; Posterior segment of eyeball; Ophthalmoscopy; ,3D printed smartphone lens adapters for mobile anterior and posterior segment ophthalmoscopy,"['http://www.journalmtm.com/2014/3d-printed-smartphone-indirect-lens-adapter-for-rapid-high-quality-retinal-imagin', 'http://med.stanford.edu/news/all-news/2014/03/smartphones-become-eye-phones-with-low-cost-devices-developed-by-ophthalmologists.ht']"
77,S17-417_systemic-targeting-of-inflammatory,240706,Stanford inventors have developed a mesenchymal stem cell-based gene therapy that can target the inflammatory environment and secrete immunomodulatory cytokines.  The model has been demonstrated ...,Immunotherapy; Antigen; ,Systemic targeting of inflammatory sites and enhanced immunomodulatory function by introducing the chimeric antigen receptor (CAR) into mesenchymal stem cells for inflammatory and autoimmune diseases,[]
78,S18-099_engineering-stable-interfaces-for,240705,Stanford researchers at the Yi Cui Lab have designed and synthesized 3D electrodes using Atomic Layer Deposition (ALD) coated hollow carbon spheres (HCS) which can ...,Anode; ,Engineering stable interfaces for 3D lithium metal anodes,['http://dx.doi.org/10.1126/sciadv.aat516']
79,S17-150_novel-ligands-with-affinity-for,240696,"Researchers at Stanford have discovered new, chemically distinct opioid receptor ligands that may be used to develop safer opioid therapeutics.  Opioids are ligands that bind ...",,Novel Ligands with Affinity for Opioid Receptors,['https://arxiv.org/abs/1803.044']
